date,SP01,SP02,SP03,SP04,SP05,WS01,WS02,WS03
2020.09.15 00:30,17.19,0.59,8.07,2.15,3.13,1.37,4.69,0.79
2020.09.15 00:31,2.94,4.69,11.91,14.07,14.23,2.54,2.93,1.54
2020.09.15 00:32,2.36,2.35,3.13,1.56,0.98,3.13,15.63,3.72
2020.09.15 00:33,4.82,2.35,1.92,2.54,2.54,2.54,7.88,2.71
2020.09.15 00:34,6.06,2.88,2.18,0.98,3.46,3.71,2.50,1.58
2020.09.15 00:35,2.93,0.98,3.53,1.15,2.31,2.31,11.35,1.16
2020.09.15 00:36,2.93,4.69,10.36,13.48,11.53,1.54,2.35,5.00
2020.09.15 00:37,2.12,1.57,14.94,1.17,11.73,31.15,4.50,2.12
2020.09.15 00:38,3.65,0.59,0.59,0.77,1.57,3.91,1.56,3.66
2020.09.15 00:39,17.50,1.34,0.40,0.39,10.16,2.35,2.35,3.08
2020.09.15 00:40,3.71,2.35,1.76,2.35,1.97,4.10,2.35,1.54
2020.09.15 00:41,4.69,4.23,9.85,13.28,15.00,2.74,1.57,0.96
2020.09.15 00:42,2.70,3.85,2.74,1.12,1.57,17.78,3.71,6.82
2020.09.15 00:43,2.35,1.56,0.57,1.37,1.57,3.08,2.31,5.67
2020.09.15 00:44,2.69,0.58,1.18,0.98,2.89,1.92,4.10,6.54
2020.09.15 00:47,2.50,5.08,1.18,0.38,4.69,2.54,19.34,8.26
2020.09.15 00:48,4.89,2.35,1.73,1.54,1.15,3.91,0.58,0.56
2020.09.15 00:49,12.91,2.15,2.35,2.15,11.15,0.77,0.59,3.08
2020.09.15 00:50,3.32,1.92,2.88,4.04,3.13,1.57,1.76,4.90
2020.09.15 00:50,3.32,1.92,2.88,4.04,3.13,1.57,9.57,4.90
2020.09.15 00:51,3.72,5.00,9.57,13.27,13.68,2.74,1.96,5.96
2020.09.15 00:51,3.72,5.00,9.57,13.27,13.68,2.74,0.59,5.96
2020.09.15 00:52,4.30,3.65,2.69,2.35,27.94,3.85,0.00,2.54
